Animal Name,Class,Order,Family,Is_Endangered,Length(cm),Lifespan(years),Weight(kg),Diet,Asia,Europe,Africa,South-America,North-America,Central-America,Antarctica,Oceania,Ocean,Eurasia
Aardvark,13,Tubulidentata,Orycteropodidae,0.0,162.5,23.0,70.0,4,0,0,1,0,0,0,0,0,0,0
Aardwolf,13,Carnivora,Hyaenidae,0.0,93.98,15.0,10.909090909090908,0,0,0,1,0,0,0,0,0,0,0
Abyssinian Guinea Pig,13,Rodentia,Caviidae,0.0,1114.242495994122,10.0,1601.274827419837,4,0,0,0,1,0,0,0,0,0,0
Acadian Flycatcher,4,Passeriformes,Tyrannidae,0.0,14.478000000000002,3.0,0.0127572716448375,3,0,0,0,1,1,1,0,0,0,0
Addax,13,Artiodactyla,Bovidae,1.0,124.46,22.0,1601.274827419837,2,0,0,1,0,0,0,0,0,0,0
Adelie Penguin,4,Sphenisciformes,Spheniscidae,0.0,1114.242495994122,15.0,4.5,0,1,0,0,0,0,0,1,0,1,1
Aesculapian snake,16,Squamata,Colubridae,0.0,146.304,27.5,1601.274827419837,0,1,1,0,0,0,0,0,0,0,0
African Bullfrog,2,Anura,Pyxicephalidae,0.0,1841.5,45.0,4.286452994166795,0,0,0,1,0,0,0,0,0,0,0
African Bush Elephant,13,Proboscidea,Elephantidae,0.0,1114.242495994122,65.0,301.5,2,0,0,1,0,0,0,0,0,0,0
African Civet,13,Carnivora,Viverridae,0.0,1114.242495994122,17.5,2.95,4,0,0,1,0,0,0,0,0,0,0
African Clawed Frog,2,Anura,Pipidae,0.0,725.0,11.5,4.320987654320987,0,0,0,1,0,0,0,0,0,0,0
African Fish Eagle,4,Accipitriformes,Accipitridae,0.0,1114.242495994122,18.0,2.7895963930291847,0,0,0,1,0,0,0,0,0,0,0
African Forest Elephant,13,Proboscidea,Elephantidae,1.0,1114.242495994122,65.0,451.5,2,0,0,1,0,0,0,0,0,0,0
African Golden Cat,13,Carnivora,Felidae,1.0,81.28,12.0,11.339822735890994,0,0,0,1,0,0,0,0,0,0,0
African Grey Parrot,4,Psittaciformes,Psittacidae,1.0,33.02,41.5,0.4713103135453875,2,0,0,1,0,0,0,0,0,0,0
African Jacana,4,Charadriformes,Jacanidae,0.0,26.67,7.5,0.2267959403526676,0,0,0,1,0,0,0,0,0,0,0
African Palm Civet,13,Carnivora,Nandiniidae,0.0,1114.242495994122,17.5,2.95,4,0,0,1,0,0,0,0,0,0,0
African Penguin,4,Sphenisciformes,Spheniscidae,1.0,1114.242495994122,12.5,3.5,0,0,0,1,0,0,0,0,0,1,0
African Tree Toad,2,Anura,Bufonidae,0.0,315.0,4.0,0.1234567901234567,0,0,0,1,0,0,0,0,0,0,0
African Wild Dog,13,Carnivora,Canidae,1.0,9250.0,11.5,26.5,0,0,0,1,0,0,0,0,0,0,0
Agama Lizard,16,Squamata,Agamidae,0.0,2100.0,25.0,1.5,4,0,0,1,0,0,0,0,0,0,0
Alaskan Pollock,0,Gadiformes,Gadidae,0.0,60.96,12.0,0.9090909090909092,0,1,0,0,0,1,0,0,0,1,1
Albacore Tuna,0,Scombriformes,Scombridae,0.0,260.0,11.0,36.36363636363636,0,0,0,0,0,0,0,0,0,1,0
Albatross,4,Procellariiformes,Diomedeidae,0.0,280.0,50.0,16.0,0,0,0,1,1,1,0,0,1,1,0
Albertonectes,16,Plesiosauria,Elasmosauridae,1.0,1114.242495994122,19.474841669993218,1601.274827419837,4,0,0,0,0,0,0,0,0,1,0
Aldabra Giant Tortoise,16,Testudines,Testudinidae,1.0,10500.0,167.5,200.0,2,0,0,0,0,0,0,0,0,1,0
Alligator Gar,0,Lepisosteiformes,Lepisosteidae,0.0,650.0,50.0,159.0909090909091,0,0,0,0,0,1,1,0,0,0,0
Allosaurus,16,Saurischia,Allosauridae,1.0,1188.72,28.0,3343.0,0,0,1,1,0,1,0,0,1,1,1
Alpaca,13,Artiodactyla,Camelidae,0.0,17250.0,17.5,29.937132022752223,2,0,0,0,1,0,0,0,0,0,0
Alpine Goat,13,Artiodactyla,Bovidae,0.0,1114.242495994122,16.5,70.45454545454545,2,0,1,0,0,1,0,0,0,0,0
Amano Shrimp,12,Decapoda,Atyidae,0.0,5.08,2.5,1601.274827419837,4,1,0,0,0,0,0,0,0,0,0
