Animal Name,Class,Order,Family,Is_Endangered,Length(cm),Lifespan(years),Weight(kg),Diet,Asia,Europe,Africa,South-America,North-America,Central-America,Antarctica,Oceania,Ocean,Eurasia
Aardvark,Mammalia,Tubulidentata,Orycteropodidae,0.0,162.5,23.0,70.0,Omnivore,0,0,1,0,0,0,0,0,0,0
Aardwolf,Mammalia,Carnivora,Hyaenidae,0.0,93.98,15.0,10.909090909090908,Carnivore,0,0,1,0,0,0,0,0,0,0
Abyssinian,Mammalia,Carnivora,Felidae,,,14.0,3.6363636363636362,Omnivore,0,0,1,0,0,0,0,0,0,0
Abyssinian Guinea Pig,Mammalia,Rodentia,Caviidae,0.0,,10.0,,Omnivore,0,0,0,1,0,0,0,0,0,0
Acadian Flycatcher,Aves,Passeriformes,Tyrannidae,0.0,14.478000000000002,3.0,0.012757271644837557,Insectivore,0,0,0,1,1,1,0,0,0,0
Achrioptera Manga,Insecta,Phasmatodea,Phasmatidae,,,,,Herbivore,0,0,1,0,0,0,0,0,0,0
Ackie Monitor,Reptilia,Squamata,Varanidae,,68.58,17.5,,Carnivore,0,0,0,0,0,0,0,1,1,0
Addax,Mammalia,Artiodactyla,Bovidae,1.0,124.46000000000001,22.0,,Herbivore,0,0,1,0,0,0,0,0,0,0
Adelie Penguin,Aves,Sphenisciformes,Spheniscidae,0.0,,15.0,4.5,Carnivore,1,0,0,0,0,0,1,0,1,1
Aesculapian snake,Reptilia,Squamata,Colubridae,0.0,146.304,27.5,,Carnivore,1,1,0,0,0,0,0,0,0,0
Affenpinscher,Mammalia,Carnivora,Canidae,,,,,Omnivore,0,1,0,0,0,0,0,0,0,0
Afghan Hound,Mammalia,Carnivora,Canidae,,,,,Omnivore,1,0,0,0,0,0,0,0,0,0
African Bullfrog,Amphibia,Anura,Pyxicephalidae,0.0,1841.5,45.0,4.286452994166795,Carnivore,0,0,1,0,0,0,0,0,0,0
African Bush Elephant,Mammalia,Proboscidea,Elephantidae,0.0,,65.0,301.5,Herbivore,0,0,1,0,0,0,0,0,0,0
African Civet,Mammalia,Carnivora,Viverridae,0.0,,17.5,2.95,Omnivore,0,0,1,0,0,0,0,0,0,0
African Clawed Frog,Amphibia,Anura,Pipidae,0.0,725.0,11.5,4.320987654320987,Carnivore,0,0,1,0,0,0,0,0,0,0
African Fish Eagle,Aves,Accipitriformes,Accipitridae,0.0,,18.0,2.7895963930291847,Carnivore,0,0,1,0,0,0,0,0,0,0
African Forest Elephant,Mammalia,Proboscidea,Elephantidae,1.0,,65.0,451.5,Herbivore,0,0,1,0,0,0,0,0,0,0
African Golden Cat,Mammalia,Carnivora,Felidae,1.0,81.28,12.0,11.339822735890994,Carnivore,0,0,1,0,0,0,0,0,0,0
African Grey Parrot,Aves,Psittaciformes,Psittacidae,1.0,33.02,41.5,0.47131031354538755,Herbivore,0,0,1,0,0,0,0,0,0,0
African Jacana,Aves,Charadriformes,Jacanidae,0.0,26.67,7.5,0.22679594035266767,Carnivore,0,0,1,0,0,0,0,0,0,0
African Palm Civet,Mammalia,Carnivora,Nandiniidae,0.0,,17.5,2.95,Omnivore,0,0,1,0,0,0,0,0,0,0
African Penguin,Aves,Sphenisciformes,Spheniscidae,1.0,,12.5,3.5,Carnivore,0,0,1,0,0,0,0,0,1,0
African Tree Toad,Amphibia,Anura,Bufonidae,0.0,315.0,4.0,0.12345679012345678,Carnivore,0,0,1,0,0,0,0,0,0,0
African Wild Dog,Mammalia,Carnivora,Canidae,1.0,9250.0,11.5,26.5,Carnivore,0,0,1,0,0,0,0,0,0,0
Africanized bee (killer bee),Insecta,Hymenoptera,Apidae,,1.7779999999999998,,,Herbivore,0,0,0,1,1,1,0,0,0,0
Agama Lizard,Reptilia,Squamata,Agamidae,0.0,2100.0,25.0,1.5,Omnivore,0,0,1,0,0,0,0,0,0,0
Aidi,Mammalia,Carnivora,Canidae,,,13.5,,Omnivore,0,0,1,0,0,0,0,0,0,0
Ainu,Mammalia,Carnivora,Canidae,,,,,Omnivore,1,0,0,0,0,0,0,0,0,0
Airedale Terrier,Mammalia,Carnivora,Canidae,,,,,Omnivore,0,1,0,0,0,0,0,0,0,0
Airedoodle,Mammalia,Carnivora,Canidae,,,,,Omnivore,0,0,0,0,1,0,0,0,0,0
Akbash,Mammalia,Carnivora,Canidae,,,,,Omnivore,0,1,0,0,0,0,0,0,0,0
Akita,Mammalia,Carnivora,Canidae,,,12.5,59.090909090909086,Omnivore,1,0,0,0,0,0,0,0,0,0
Akita Shepherd,Mammalia,Carnivora,Canidae,,,11.5,54.54545454545454,Omnivore,0,0,0,0,1,0,0,0,0,0
Alabai (Central Asian Shepherd),Mammalia,Carnivora,Canidae,,,13.5,49.99999999999999,Omnivore,0,0,0,0,0,0,0,0,0,1
Alaskan Husky,Mammalia,Carnivora,Canidae,,,14.0,29.545454545454543,Omnivore,0,0,0,0,1,0,0,0,0,0
Alaskan Klee Kai,Mammalia,Carnivora,Canidae,,,14.5,,Omnivore,0,0,0,0,1,0,0,0,0,0
Alaskan Malamute,Mammalia,Carnivora,Canidae,,,,,Omnivore,0,0,0,0,1,0,0,0,0,0
Alaskan Pollock,Actinopterygii,Gadiformes,Gadidae,0.0,60.96,12.0,0.9090909090909091,Carnivore,1,0,0,0,1,0,0,0,1,1
Alaskan Shepherd,Mammalia,Carnivora,Canidae,,,11.0,38.63636363636363,Omnivore,0,0,0,0,1,0,0,0,0,0
Albacore Tuna,Actinopterygii,Scombriformes,Scombridae,0.0,260.0,11.0,36.36363636363636,Carnivore,0,0,0,0,0,0,0,0,1,0
Albatross,Aves,Procellariiformes,Diomedeidae,0.0,280.0,50.0,16.0,Carnivore,0,0,1,1,1,0,0,1,1,0
Albertonectes,Reptilia,Plesiosauria,Elasmosauridae,1.0,,,,Omnivore,0,0,0,0,0,0,0,0,1,0
Albino (Amelanistic) Corn Snake,Reptilia,Squamata,Colubridae,0.0,121.92,20.0,0.6803893641534596,,0,0,0,0,1,0,0,0,0,0
Aldabra Giant Tortoise,Reptilia,Testudines,Testudinidae,1.0,10500.0,167.5,200.0,Herbivore,0,0,0,0,0,0,0,0,1,0
Alligator Gar,Actinopterygii,Lepisosteiformes,Lepisosteidae,0.0,650.0,50.0,159.09090909090907,Carnivore,0,0,0,0,1,1,0,0,0,0
Allosaurus,Reptilia,Saurischia,Allosauridae,1.0,1188.72,28.0,3343.0,Carnivore,0,1,1,0,1,0,0,1,1,1
Allosaurus,,,Allosauridae,1.0,914.4,,2336.003483593545,Carnivore,0,0,0,0,1,0,0,0,0,0
Alpaca,Mammalia,Artiodactyla,Camelidae,0.0,17250.0,17.5,29.937132022752223,Herbivore,0,0,0,1,0,0,0,0,0,0
Alpine Dachsbracke,Mammalia,Carnivora,Canidae,,,12.0,,Omnivore,0,1,0,0,0,0,0,0,0,0
Alpine Goat,Mammalia,Artiodactyla,Bovidae,0.0,,16.5,70.45454545454545,Herbivore,0,1,0,0,1,0,0,0,0,0
Alusky,Mammalia,Carnivora,Canidae,,,12.5,45.45454545454545,Omnivore,0,0,0,0,1,0,0,0,0,0
Amano Shrimp,Malacostraca,Decapoda,Atyidae,0.0,5.08,2.5,,Omnivore,1,0,0,0,0,0,0,0,0,0
Amargasaurus,,,Dicraeosauridae,1.0,,,,Omnivore,0,0,0,1,0,0,0,0,0,0
Amazon Parrot,Aves,Psittaciformes,Psittacidae,,38.1,100.0,0.5613199523728525,Herbivore,0,0,0,1,0,1,0,0,0,0
Amazon River Dolphin (Pink Dolphin),Mammalia,Cetacea,Platanistoidea,1.0,,15.0,150.0,Carnivore,0,0,0,1,0,0,0,0,0,0
